# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,u,g,r,i,z
5.500000000000000000e+00,1.321878151970546329e-10,4.171965655617364353e-05,4.180211844039962923e-05,1.114709451077352043e+01,1.149010382374778771e+01,1.198928894704393144e+01,1.234695898067352715e+01,1.266039588711288388e+01
5.549999999999999822e+00,1.321873051431155581e-10,4.680967787725686887e-05,4.690265783115182802e-05,1.102167331863049782e+01,1.136469616558956375e+01,1.186388349158032440e+01,1.222156497164016997e+01,1.253500983220563825e+01
5.599999999999999645e+00,1.321867328555261907e-10,5.251872100678416463e-05,5.262553372499379189e-05,1.089578142528695537e+01,1.123881318105648575e+01,1.173799539337884568e+01,1.209570126941000723e+01,1.240916140764456799e+01
5.650000000000000355e+00,1.321860907412392767e-10,5.892101823514202101e-05,5.904667659396805712e-05,1.076967694856248414e+01,1.111269083443454520e+01,1.161185035753440786e+01,1.196958410447391685e+01,1.228305941516778432e+01
5.700000000000000178e+00,1.321853702808728612e-10,6.610181121861598633e-05,6.625128025806404307e-05,1.064288090947821530e+01,1.098588993677692827e+01,1.148501827840757983e+01,1.184278847783185284e+01,1.215628603306067390e+01
5.750000000000000000e+00,1.321845619157208545e-10,7.415538001298498474e-05,7.433493177801762789e-05,1.051541202569120514e+01,1.085842653308672112e+01,1.135751165350225733e+01,1.171532193255368526e+01,1.202884587301106478e+01
5.799999999999999822e+00,1.321836549209875521e-10,8.318771033157937908e-05,8.340487911107849212e-05,1.038715085231159918e+01,1.073018872218388964e+01,1.122921830694276935e+01,1.158707083877180821e+01,1.190062503834034402e+01
5.849999999999999645e+00,1.321826372635676538e-10,9.331905053558449815e-05,9.358145331014023596e-05,1.025761971819196106e+01,1.060073414456345375e+01,1.109970442719377104e+01,1.145760710639555668e+01,1.177120162145004656e+01
5.900000000000000355e+00,1.321814954424893793e-10,1.046808409126980975e-04,1.049996640927925730e-04,1.012720981576053703e+01,1.047041916250586269e+01,1.096931843316109223e+01,1.132726979618168173e+01,1.164090452284172272e+01
5.950000000000000178e+00,1.321802143099100247e-10,1.174219666508777234e-04,1.178109898862245153e-04,9.995724980530077630e+00,1.033905719648934252e+01,1.083787792356998381e+01,1.119587778485723106e+01,1.150955289944839421e+01
6.000000000000000000e+00,1.321787768702957158e-10,1.317084646460125227e-04,1.321853860294444898e-04,9.863025237577666360e+00,1.020650786828219481e+01,1.070524785401964607e+01,1.106329713718989893e+01,1.137701086153842311e+01
6.049999999999999822e+00,1.321771640551308839e-10,1.477266066887933209e-04,1.483135376779151724e-04,9.728811895485577566e+00,1.007248050170686327e+01,1.057115934414484570e+01,1.092926932291796049e+01,1.124302269581994551e+01
6.099999999999999645e+00,1.321753544701800545e-10,1.656877839204097340e-04,1.664093871859453184e-04,9.592291408698216060e+00,9.936225454390076095e+00,1.043489679450485141e+01,1.079310088087865438e+01,1.110690842805217926e+01
6.150000000000000355e+00,1.321733241119637301e-10,1.858248020212773682e-04,1.867129693493121739e-04,9.453090923042353211e+00,9.797367366573183745e+00,1.029608236282730616e+01,1.065441680270895830e+01,1.096829202078131260e+01
6.200000000000000178e+00,1.321710460497052221e-10,2.083962549851940801e-04,2.094935919344847130e-04,9.310666026054860822e+00,9.655339105588851112e+00,1.015408831636605669e+01,1.051255944537794562e+01,1.082649338327966859e+01
6.250000000000000000e+00,1.321684900685529955e-10,2.336882078623381980e-04,2.350534034568093440e-04,9.163962843275299974e+00,9.509033744098609020e+00,1.000765792744626026e+01,1.036618826555853445e+01,1.068010635346998072e+01
6.299999999999999822e+00,1.321656222693747660e-10,2.620171047395352098e-04,2.637313952391998344e-04,9.009331484688090086e+00,9.354678896298459279e+00,9.852839567752830874e+00,1.021125475894819346e+01,1.052498240691723908e+01
6.349999999999999645e+00,1.321624046198513373e-10,2.937306123514715262e-04,2.959078904731527728e-04,8.842961919452335451e+00,9.188222418459318419e+00,9.685257467112577956e+00,1.004349858783820792e+01,1.035678879178250611e+01
6.400000000000000355e+00,1.321587944509628442e-10,3.292055835659275179e-04,3.320095793581434628e-04,8.669452944660761773e+00,9.014186049894469477e+00,9.509161172927321104e+00,9.867280633412946145e+00,1.017991517785081612e+01
6.450000000000000178e+00,1.321547438922461566e-10,3.688644435687350167e-04,3.725151665250364566e-04,8.484564178805221957e+00,8.827761438899827340e+00,9.319513746963913547e+00,9.677937592062001215e+00,9.989673580914939066e+00
6.500000000000000000e+00,1.321501992384083118e-10,4.131745227467715272e-04,4.179617049035320346e-04,8.292192142610048222e+00,8.630745783303026997e+00,9.118649364708034000e+00,9.476698433909966468e+00,9.786940861374517908e+00
6.549999999999999822e+00,1.321451002389871542e-10,4.626616281607449986e-04,4.689516991150744288e-04,8.117040066287579236e+00,8.439578137001618074e+00,8.918463520542353251e+00,9.271126574390635255e+00,9.572092869449896568e+00
6.599999999999999645e+00,1.321393793017563200e-10,5.177596147990144466e-04,5.261610714235907078e-04,7.955127682543363221e+00,8.251706390319483830e+00,8.719362213179643106e+00,9.063960635352422912e+00,9.353758416922751451e+00
6.650000000000000355e+00,1.321329605994577540e-10,5.791518248682710982e-04,5.903480944089616392e-04,7.807904148962968804e+00,8.075615185300037524e+00,8.533258138692985995e+00,8.869848747582608439e+00,9.150839824349787932e+00
6.700000000000000178e+00,1.321257590682026713e-10,6.478347248878103858e-04,6.623634069599428640e-04,7.688105788286470954e+00,7.935186606204709392e+00,8.383576239240959183e+00,8.712092381679049424e+00,8.984476087850957526e+00
6.750000000000000000e+00,1.321176792844932261e-10,7.244356504195575671e-04,7.431612440545224633e-04,7.581493630868102684e+00,7.808122926475874692e+00,8.240756034973230726e+00,8.555103567525563335e+00,8.811095047260046442e+00
6.799999999999999822e+00,1.321086142062712226e-10,8.095261560488562110e-04,8.338120262741660757e-04,7.478915153250738967e+00,7.671852228928194961e+00,8.077232858292276774e+00,8.367436227171239693e+00,8.594859731418679871e+00
