# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,u,g,r,i,z
5.500000000000000000e+00,1.321878151970546329e-10,4.172087383405404616e-05,4.180211844039962923e-05,1.121355967109965235e+01,1.155653456184045780e+01,1.205559833802857383e+01,1.241312297011176469e+01,1.272632025328806549e+01
5.549999999999999822e+00,1.321873051431155581e-10,4.681107078426904698e-05,4.690265783115182802e-05,1.108813848041867800e+01,1.143112691808558878e+01,1.193019294242812123e+01,1.228772907228555056e+01,1.260093439297136086e+01
5.599999999999999645e+00,1.321867328555261907e-10,5.252043160120944845e-05,5.262553372499379189e-05,1.096224659014620784e+01,1.130524396464006287e+01,1.180430497492841369e+01,1.216186561304701286e+01,1.247508639467169189e+01
5.650000000000000355e+00,1.321860907412392767e-10,5.892328273609470727e-05,5.904667659396805712e-05,1.083614211719658726e+01,1.117912165746260200e+01,1.167816010736338228e+01,1.203574876199131438e+01,1.234898495512744887e+01
5.700000000000000178e+00,1.321853702808728612e-10,6.610485550531398609e-05,6.625128025806404307e-05,1.070934608425686463e+01,1.105232082298343244e+01,1.155132829694844077e+01,1.190895363883162617e+01,1.222221246102181169e+01
5.750000000000000000e+00,1.321845619157208545e-10,7.415949916561248253e-05,7.433493177801762789e-05,1.058187720890612127e+01,1.092485750552603463e+01,1.142382203885739500e+01,1.178148778359947357e+01,1.209477352011762008e+01
5.799999999999999822e+00,1.321836549209875521e-10,8.319326494674966722e-05,8.340487911107849212e-05,1.045361604665072264e+01,1.079661980765563101e+01,1.129552917287028890e+01,1.165323759678626914e+01,1.196655429012209026e+01
5.849999999999999645e+00,1.321826372635676538e-10,9.332639552831049651e-05,9.358145331014023596e-05,1.032408492796496091e+01,1.066716538499465372e+01,1.116601594932766517e+01,1.152377510502484625e+01,1.183713306887253225e+01
5.900000000000000355e+00,1.321814954424893793e-10,1.046905312803347507e-04,1.049996640927925730e-04,1.019367504387786028e+01,1.053685058698820853e+01,1.103563073468029643e+01,1.139343927145451119e+01,1.170683858767145580e+01
5.950000000000000178e+00,1.321802143099100247e-10,1.174346980534667290e-04,1.178109898862245153e-04,1.006219023052392458e+01,1.040548884009192676e+01,1.090419115196174715e+01,1.126204901895086152e+01,1.157549008578288863e+01
6.000000000000000000e+00,1.321787768702957158e-10,1.317251504755827219e-04,1.321853860294444898e-04,9.929490513384614303e+00,1.027293977023499849e+01,1.077156217334103872e+01,1.112947044369947491e+01,1.144295173060154980e+01
6.049999999999999822e+00,1.321771640551308839e-10,1.477484056349703107e-04,1.483135376779151724e-04,9.795277201952899304e+00,1.013891271023830143e+01,1.063747495290283496e+01,1.099544507856275288e+01,1.130896792027015607e+01
6.099999999999999645e+00,1.321753544701800545e-10,1.657159873413950114e-04,1.664093871859453184e-04,9.658756753177982546e+00,1.000265804160994776e+01,1.050121398615742407e+01,1.085927963815699115e+01,1.117285898817149814e+01
6.150000000000000355e+00,1.321733241119637301e-10,1.858611094389985279e-04,1.867129693493121739e-04,9.519556313861613717e+00,9.863800414709729125e+00,1.036240147365478492e+01,1.072059919569277042e+01,1.103424904342559643e+01
6.200000000000000178e+00,1.321710460497052221e-10,2.084429784409592837e-04,2.094935919344847130e-04,9.377131472946828694e+00,9.721772712086462320e+00,1.022040975474163815e+01,1.057874625440692284e+01,1.089245826749368717e+01
6.250000000000000000e+00,1.321684900685529955e-10,2.337485878991094252e-04,2.350534034568093440e-04,9.230428358795876420e+00,9.575468036979565056e+00,1.007398224936565612e+01,1.043238057509820038e+01,1.074608107154270442e+01
6.299999999999999822e+00,1.321656222693747660e-10,2.620956910024891187e-04,2.637313952391998344e-04,9.075797091839021391e+00,9.421114113134223089e+00,9.919167808064891290e+00,1.027745459236214032e+01,1.059097065042990238e+01
6.349999999999999645e+00,1.321624046198513373e-10,2.938338602742988632e-04,2.959078904731527728e-04,8.909427650586096092e+00,9.254658898393721245e+00,9.751591119465437885e+00,1.010970881396433185e+01,1.042279578434218479e+01
6.400000000000000355e+00,1.321587944509628442e-10,3.293428705560465133e-04,3.320095793581434628e-04,8.735918815249164027e+00,9.080623962855440823e+00,9.575501045228193675e+00,9.933502781817885818e+00,1.024594372296012068e+01
6.450000000000000178e+00,1.321547438922461566e-10,3.690484469859244237e-04,3.725151665250364566e-04,8.551030213067527086e+00,8.894201057779341113e+00,9.385861080307428495e+00,9.744173941880958978e+00,1.005572781018840089e+01
6.500000000000000000e+00,1.321501992384083118e-10,4.134220130695079190e-04,4.179617049035320346e-04,8.358658350160851569e+00,8.697187282730517666e+00,9.185004904956663552e+00,9.542950556218549707e+00,9.853023743580848759e+00
6.549999999999999822e+00,1.321451002389871542e-10,4.629938774277390576e-04,4.689516991150744288e-04,8.183506395291956892e+00,8.506021257084995568e+00,8.984826647209509076e+00,9.337394204162443145e+00,9.638206412282876556e+00
6.599999999999999645e+00,1.321393793017563200e-10,5.182122104338623839e-04,5.261610714235907078e-04,8.021594096521852180e+00,8.318150960697657581e+00,8.785732319356796438e+00,9.130242937118239865e+00,9.419901234051316408e+00
6.650000000000000355e+00,1.321329605994577540e-10,5.797647371981253265e-04,5.903480944089616392e-04,7.874370611766202899e+00,8.142060873130930077e+00,8.599633651882271579e+00,8.936142558856921880e+00,9.217005225792362921e+00
6.700000000000000178e+00,1.321257590682026713e-10,6.486391895564059531e-04,6.623634069599428640e-04,7.754572237484723018e+00,8.001632620192459910e+00,8.449953851672148630e+00,8.778391398342598961e+00,9.050652838206040940e+00
6.750000000000000000e+00,1.321176792844932261e-10,7.254822316140866921e-04,7.431612440545224633e-04,7.647960036199179967e+00,7.874568982357715186e+00,8.307135133572444374e+00,8.621407518168688000e+00,8.877284533730360749e+00
6.799999999999999822e+00,1.321086142062712226e-10,8.108949483037655292e-04,8.338120262741660757e-04,7.545381504483131607e+00,7.738298518780766244e+00,8.143615086395691094e+00,8.433749428920336300e+00,8.661071738026549838e+00
6.849999999999999645e+00,1.320984437616739835e-10,9.058475342850765650e-04,9.355164722468190756e-04,7.453118599423987689e+00,7.600970574411789471e+00,7.973957069964846767e+00,8.235548335828319466e+00,8.429116125589828812e+00
6.900000000000000355e+00,1.320870332672560518e-10,1.011455222917463648e-03,1.049621416426084084e-03,7.378228398385729747e+00,7.484545775659704248e+00,7.814026640912302923e+00,8.037886968351003247e+00,8.193306578943250429e+00
6.950000000000000178e+00,1.320742316552999086e-10,1.128889975485227208e-03,1.177637535987610239e-03,7.319800493588381585e+00,7.407056975631334694e+00,7.694173456759315854e+00,7.873149071950251709e+00,7.982058241369955454e+00
7.000000000000000000e+00,1.320598694874609756e-10,1.259521472539103541e-03,1.321259214376825511e-03,7.268566902649929773e+00,7.348664701400778654e+00,7.608320580091870511e+00,7.748693075847171485e+00,7.812967426382641634e+00
7.049999999999999822e+00,1.320437567293577297e-10,1.404887555980412813e-03,1.482386795409500234e-03,7.219288407048068734e+00,7.289979745418968093e+00,7.529645813168933444e+00,7.641363438287577026e+00,7.672337583677958150e+00
7.099999999999999645e+00,1.320256802577936516e-10,1.566644523572503561e-03,1.663151511050155835e-03,7.172311906404715387e+00,7.231098990754588840e+00,7.456464199088131295e+00,7.545881730739253612e+00,7.550006376526354757e+00
7.150000000000000355e+00,1.320054010690656968e-10,1.746658185859686690e-03,1.865943398329675783e-03,7.128054599632655197e+00,7.175259576092400948e+00,7.390476071798445901e+00,7.462824399059591940e+00,7.445993838256953268e+00
7.200000000000000178e+00,1.319826511532408483e-10,1.947085357207155440e-03,2.093442556578302156e-03,7.086465741152316866e+00,7.123873281898980281e+00,7.329875183262416272e+00,7.387608370633500954e+00,7.353528324671160021e+00
7.250000000000000000e+00,1.319571299953480525e-10,2.170268522255732954e-03,2.348654135506061599e-03,7.047461499274064067e+00,7.076390832961145350e+00,7.273278104891744533e+00,7.316319901629952938e+00,7.265566897835050497e+00
7.299999999999999822e+00,1.319285006601059134e-10,2.418785208129414863e-03,2.634947487927391963e-03,7.010332704583433383e+00,7.031905992744263756e+00,7.221124407637304898e+00,7.251377598329916907e+00,7.186735924898719929e+00
7.349999999999999645e+00,1.318963854120648611e-10,2.695620644765130310e-03,2.956099968337965594e-03,6.974147481013652339e+00,6.988180713619428275e+00,7.170916998225322914e+00,7.191058557989819633e+00,7.116141636340593379e+00
7.400000000000000355e+00,1.318603608178643085e-10,3.004047037711734050e-03,3.316345910343484246e-03,6.938804835420803840e+00,6.944315416017772691e+00,7.120606302202141080e+00,7.131847931275295593e+00,7.048495371340450788e+00
7.450000000000000178e+00,1.318199522716725457e-10,3.347598635305250921e-03,3.720431372261249342e-03,6.904483357873189675e+00,6.900575920914057804e+00,7.070505446795365856e+00,7.073893339662760127e+00,6.983597213631476563e+00
7.500000000000000000e+00,1.317746278787785266e-10,3.730226867495166094e-03,4.173675301201341600e-03,6.871240125256292686e+00,6.857508521748215458e+00,7.022087383377503045e+00,7.019523567123343355e+00,6.924390412741715295e+00
7.549999999999999822e+00,1.317237916257432208e-10,4.156579054840598732e-03,4.682037831554433822e-03,6.838430024243201899e+00,6.814118349485291048e+00,6.974351608677594072e+00,6.967980823644239763e+00,6.870345580215577286e+00
7.599999999999999645e+00,1.316667757585034790e-10,4.631843280873924884e-03,5.252196503951984084e-03,6.805468832068441998e+00,6.769032936321075056e+00,6.924965963964673676e+00,6.916043860954715683e+00,6.817473014618684601e+00
7.650000000000000355e+00,1.316028322823909014e-10,5.161528206172926250e-03,5.891631265077817807e-03,6.772392488149129974e+00,6.722441021728606358e+00,6.874252838472223459e+00,6.863872621130568064e+00,6.765646383777770723e+00
7.700000000000000178e+00,1.315311234902376817e-10,5.751734265176134189e-03,6.608719186609752702e-03,6.739249938869129153e+00,6.674545544865893021e+00,6.822619204192449160e+00,6.811904151234053018e+00,6.715201488593969259e+00
7.750000000000000000e+00,1.314507114166871146e-10,6.409262984830876343e-03,7.412839922115473448e-03,6.706251275118383148e+00,6.625887776601651069e+00,6.770464814492143546e+00,6.760334371931264741e+00,6.666164375200132497e+00
7.799999999999999822e+00,1.313605461086449949e-10,7.141692442604773844e-03,8.314493002536692268e-03,6.673842616956299878e+00,6.577605645951585700e+00,6.718264144709841901e+00,6.708878834581462058e+00,6.617695760398092375e+00
7.849999999999999645e+00,1.312594525937000066e-10,7.957397409233638030e-03,9.325428151986576292e-03,6.642292716432763200e+00,6.530280248891983774e+00,6.666355072585240293e+00,6.657394617392455416e+00,6.569170679293883097e+00
7.900000000000000355e+00,1.311461164205758089e-10,8.865654663709698902e-03,1.045878988322862871e-02,6.611715311228920200e+00,6.484095565639336201e+00,6.615441621806105843e+00,6.606751145548855675e+00,6.521405173267076805e+00
7.950000000000000178e+00,1.310190676386273394e-10,9.876945770552768983e-03,1.172927770271342540e-02,6.581998101098008647e+00,6.438694939814155305e+00,6.565322093561974270e+00,6.556852616111243037e+00,6.474350039506148846e+00
8.000000000000000000e+00,1.308766630775509071e-10,1.100296392687947350e-02,1.315332331347748157e-02,6.552994311597132082e+00,6.393455233661669013e+00,6.515242497721281723e+00,6.506960816328479780e+00,6.427268806900251263e+00
8.050000000000000711e+00,1.307170667844879226e-10,1.225647145412282236e-02,1.474928624410759732e-02,6.524834253756878866e+00,6.348478752380813717e+00,6.465415902350734711e+00,6.457318905412108734e+00,6.380338537997303661e+00
8.099999999999999645e+00,1.305382284744086127e-10,1.365158556284483404e-02,1.653766934490057822e-02,6.497628623499153377e+00,6.303959239759102218e+00,6.416258632731768330e+00,6.408367538371628314e+00,6.333750535496520229e+00
8.150000000000000355e+00,1.303378598521498065e-10,1.520290229237887536e-02,1.854135556748867653e-02,6.471413057386641299e+00,6.259934616676844144e+00,6.367835740079385687e+00,6.360181992306848997e+00,6.287529741956078055e+00
8.199999999999999289e+00,1.301134086721294388e-10,1.692627282064957175e-02,2.078586736769217486e-02,6.446207485414774396e+00,6.216438105243767609e+00,6.320155158124578065e+00,6.312816587277310987e+00,6.241951103026948999e+00
8.250000000000000000e+00,1.298620304163297218e-10,1.884054518781102736e-02,2.329964992568952370e-02,6.422084449954070351e+00,6.173513139445155673e+00,6.273191350194210258e+00,6.266215424188096961e+00,6.196993767891093796e+00
8.300000000000000711e+00,1.295805574948270793e-10,2.096898325061870641e-02,2.611437914071595631e-02,6.399062532525519487e+00,6.131059710807299723e+00,6.226693741938973403e+00,6.220058506516394914e+00,6.152335637851777506e+00
8.349999999999999645e+00,1.292654659087057203e-10,2.333736148113852923e-02,2.926529500192959557e-02,6.377201854365907252e+00,6.089123903176030694e+00,6.180656923683983450e+00,6.174291640535159331e+00,6.107888130309987673e+00
8.400000000000000355e+00,1.289128393660212572e-10,2.597184955583206611e-02,3.279156042877386795e-02,6.356578628829204547e+00,6.047781773452094001e+00,6.134913408643186017e+00,6.128527379118921203e+00,6.063102290695915997e+00
8.449999999999999289e+00,1.285183309117662325e-10,2.890086778784638905e-02,3.673664497132431150e-02,6.337161308011090455e+00,6.007090662701230599e+00,6.089304318369592295e+00,6.082421710786519498e+00,6.017683923322088901e+00
8.500000000000000000e+00,1.280771222276137557e-10,3.215251042593635783e-02,4.114873181284920550e-02,6.318914848205260171e+00,5.967184974671980058e+00,6.043979003140719897e+00,6.036173109122536573e+00,5.971840144819552165e+00
8.550000000000000711e+00,1.275838808827209352e-10,3.576324623200813346e-02,4.608114526177727738e-02,6.301824040908762470e+00,5.928283843796613439e+00,5.999128718869279453e+00,5.990022389434557226e+00,5.925756810467248670e+00
8.599999999999999645e+00,1.270327159803672984e-10,3.977428529764816256e-02,5.159279428531347855e-02,6.285850351811419046e+00,5.890586335661552653e+00,5.954845016912017286e+00,5.944037860531466322e+00,5.879635014373647550e+00
8.650000000000000355e+00,1.264171328553009407e-10,4.422433379976534185e-02,5.774862553597726739e-02,6.271023309666695411e+00,5.854252649705429690e+00,5.911285345920660461e+00,5.898372661126288108e+00,5.833532500573490154e+00
8.699999999999999289e+00,1.257299877433351435e-10,4.915800840591216803e-02,6.462007665563541947e-02,6.257447936384465947e+00,5.819394896661407302e+00,5.868447067093647718e+00,5.852934614328155760e+00,5.787241719376716276e+00
8.750000000000000000e+00,1.249634436793087182e-10,5.462196834280434732e-02,7.228551729589938191e-02,6.245262724490615369e+00,5.786233288074988934e+00,5.826448979380096205e+00,5.807816735686351706e+00,5.740974706707170583e+00
8.800000000000000711e+00,1.241089292945363920e-10,6.066826316575052447e-02,8.083066114362261190e-02,6.234510047730303484e+00,5.755019448500505064e+00,5.785588467127205092e+00,5.763408158149950111e+00,5.695264096188537906e+00
8.849999999999999645e+00,1.231571026937356084e-10,6.735490492552086150e-02,9.034892715163050925e-02,6.225140582657040511e+00,5.725894797188956886e+00,5.745965629602238778e+00,5.719824519060587420e+00,5.650238626926046948e+00
8.900000000000000355e+00,1.220978232077485181e-10,7.474200706490802260e-02,1.009417220115015473e-01,6.217147899398455024e+00,5.698925579070476033e+00,5.707424179622250904e+00,5.676867591727273066e+00,5.605803534544932631e+00
